,equal_returns,industry_returns,NIFTY_returns
308,76024.53015518188,67849.57040262222,91137.001953125
309,75567.24061584473,67313.45993995667,91482.998046875
310,76172.63135910034,67674.11381721497,90830.0
311,76338.00138092041,68023.65391731262,91495.0
312,74998.42035675049,67219.27048540115,91119.501953125
313,74260.19227981567,66442.6943860054,91322.001953125
314,72619.28056716919,65274.576570510864,89913.49609375
315,72650.78019332886,65158.43692731857,89878.49609375
316,71815.25048828125,64580.57321023941,90645.99609375
317,73404.94119262695,66282.29026556015,91932.998046875
318,74066.08154296875,66383.78425312042,92830.99609375
319,73702.32021713257,67046.87669086456,93685.99609375
320,73296.50086593628,66551.05001974106,93445.99609375
321,73739.40114212036,67086.6037273407,94120.498046875
322,72790.51113510132,66118.31374406815,93839.501953125
323,71544.05010223389,65266.03702688217,93229.00390625
324,71257.98147201538,65054.80392551422,94397.5
325,72608.63156890869,65683.41099071503,93940.99609375
326,71625.27083969116,64373.36020898819,93297.001953125
327,71368.0210723877,63932.87373304367,93337.5
328,71899.27073669434,63797.01366662979,92300.498046875
329,72461.56932067871,64210.88281774521,93729.501953125
330,73418.6408958435,64693.210480213165,93867.5
331,73579.29064178467,65014.16991853714,94670.99609375
332,74659.3909111023,65843.64712429047,94966.50390625
333,74939.8408279419,66030.54360151291,95665.498046875
334,75486.80121994019,66423.02049446106,95890.0
335,76277.16050338745,66480.16051340103,95827.998046875
336,77335.66151428223,66928.12709856033,96058.49609375
337,76375.83001708984,66446.23978471756,95124.00390625
338,76408.99028396606,66725.48401546478,95659.00390625
339,77217.15054702759,67207.45668077469,96800.498046875
340,78541.75050735474,68010.17306137085,97105.498046875
341,79011.68053817749,68656.5738954544,96667.5
342,81407.62175750732,70292.02079677582,97215.498046875
343,82798.87072372437,70715.0971775055,97963.49609375
344,82469.47002029419,71193.51304721832,98072.5
345,82461.38051986694,70880.50670480728,98651.50390625
346,82012.70141983032,70224.36045885086,98787.001953125
347,81484.20101928711,69738.97050523758,99390.498046875
348,77205.84148788452,66681.67700386047,96700.498046875
349,77567.47002410889,66428.1798992157,97402.5
350,78348.98035430908,67375.6237359047,98164.00390625
351,78112.42166519165,67066.79059028625,98326.50390625
352,77508.67055892944,66374.75035572052,96759.501953125
353,77494.09064483643,66101.66351413727,96770.99609375
354,76553.61054229736,65485.1032910347,96278.49609375
355,75508.54075622559,64640.24661111832,95882.001953125
356,77120.54097747803,65755.90710115433,97182.5
357,77491.7606048584,66078.49669456482,97444.00390625
358,78225.91054534912,66673.40013980865,97912.998046875
359,78174.95056533813,66544.72056436539,98713.49609375
360,78609.66112136841,66788.72029304504,99305.0
361,77648.1304397583,66238.70008468628,98647.5
362,76949.22172546387,65703.02740478516,98575.0
363,74722.08124542236,63782.46702671051,96110.0
364,73666.9806060791,62584.15364789963,95119.00390625
365,73624.42147064209,62294.551037311554,94923.49609375
366,71309.48012924194,60466.05696964264,92427.5
367,73563.97996139526,61984.61662220955,94540.99609375
368,75626.86990356445,63672.23017549515,96282.5
369,74645.71075057983,63148.44707918167,96177.001953125
370,74227.82047653198,62604.81335926056,96397.5
371,74559.78093719482,62978.70691204071,97597.001953125
372,75103.789894104,63368.47308778763,98142.998046875
373,76046.07173538208,63705.25066328049,99203.49609375
374,75398.11026382446,63134.830191612244,99525.0
375,74146.94069671631,62441.21045541763,100097.998046875
376,74568.23096084595,62752.717138290405,100481.50390625
377,73776.27059173584,61889.10325932503,100433.49609375
378,73267.56085968018,61531.560111284256,100344.501953125
379,72511.6701965332,60889.693420410156,100614.00390625
380,71713.69019699097,60297.22705078125,98480.498046875
381,72083.14021682739,60562.65360236168,99242.5
382,73015.00016403198,61593.387004852295,100072.998046875
383,72747.37060928345,61289.51059770584,100310.0
